level_0	hhid14	pid14	panel	tk01	tk02	tk03	tk04	tk01a	tk01b	tk01c	tk01d	tk25a9x	age	marstat	sex	link	hhsize	nonfood	food	total	kabid	nmkab2014	pce	sc05	sc21x	ar02b_14	hhid07	pid07	dl06	dl05a	dl07a	dl30	dl42	index	dl2type	dl16j	dl10	dl16c2	dl16e	dl11d	dl11e	dl11f	sw00	sw01	sw03b	kk01	kk02a	kk02c	nonfood07	food07	total07	pce07	change
484	1862400	9	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		16.0	1:Not ye	3:Female	186240009	6	1757718.1	526322.22	2284040.3	3329	BREBES	1834507.6	2:Rural	96:SAME	3:Childr	1862400	9	5:Senior	6.0	1:Yes	1:Yes	3:No	12186	3	40	5			6:Still			2:Very s	3.0	3:More t	1:Very h	2.0	3:About	1325641.4	787441.58	2113083	1023182.7	170957.3
485	1862431	3	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		17.0	1:Not ye	3:Female	186240008	3	430074.86	293850	723924.86	3329	BREBES	665213.56	2:Rural	96:SAME	3:Childr	1862431	3	5:Senior	6.0	1:Yes	1:Yes	1:Yes	12189	3	60	5	6.0		6:Still			3:Somewh	3.0	2:Adequa	2:Somewh	0.0	2:Somewh	544630.63	512142.08	1056772.7	800395.32	-332847.85
486	1862800	5	3:New	3:Attend	1:Yes			3:No	1:Yes	3:No	3:No		15.0	1:Not ye	3:Female	186280005	3	331131.66	253779.54	584911.2	3329	BREBES	458681.94	2:Rural	96:SAME	3:Childr	1862800	5	5:Senior	6.0	1:Yes	1:Yes	1:Yes	12202	3	15	5			6:Still			2:Very s	2.0	1:Less a	1:Very h	0.0	3:About	170481.29	170122.85	340604.14	325516.82	244307.06
487	1862900	5	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		17.0	1:Not ye	1:Male	186290005	4	550482.52	275627.48	826110	3329	BREBES	702816.27	2:Rural	96:SAME	3:Childr	1862900	5	5:Senior	6.0	1:Yes	1:Yes	3:No	12209	3	10	5			6:Still			2:Very s	3.0	3:More t	2:Somewh	2.0	2:Somewh	511306.56	177773.52	689080.08	562917.31	137029.92
488	2162000	12	3:New	4:Housek	3:No	3:No	3:No	3:No	3:No	1:Yes	1:Yes		17.0	1:Not ye	3:Female	216200012	5	561191.84	313694.41	874886.25	3329	BREBES	874886.28	1:Urban	96:SAME	3:Childr	2162000	12	6:Senior	5.0	3:No	1:Yes	3:No	13740	3	45	6	4.0	26.97			2014.0	3:Somewh	4.0	3:More t	2:Somewh	7.0	2:Somewh	174970.04	336295.13	511265.18	505701.08	363621.07
489	0110500	5	3:New	3:Attend	1:Yes			3:No	1:Yes	1:Yes	3:No		17.0	1:Not ye	1:Male	011050005	3	951582.43	589234.09	1540816.5	1211	KARO	1289490.3	2:Rural	1:Distan	3:Childr	0110500	5	5:Senior	6.0	1:Yes	1:Yes	3:No	1021	3	30	5			6:Still			3:Somewh	4.0	2:Adequa	2:Somewh	0.0	2:Somewh	395119.54	465769.62	860889.16	860889.16	679927.35
490	0110551	2	1:Panel	1:Workin				1:Yes	3:No	1:Yes	3:No		23.0	1:Not ye	3:Female	011050004	2	1044104.8	1349948.1	2394052.9	1211	KARO	2390544.8	1:Urban	12:Move	16:Relat	0110500	4	5:Senior	6.0	3:No	3:No		1022	3	30	5	6.0	47.5			2009.0	4:Not ve	2.0	1:Less a	3:Somewh	0.0	2:Somewh	395119.54	465769.62	860889.16	860889.16	1533163.8
491	0110600	6	1:Panel	2:Job se	1:Yes			1:Yes	3:No	3:No	1:Yes		22.0	1:Not ye	1:Male	011060006	3	137661.03	429307.81	566968.84	1211	KARO	531887	2:Rural	96:SAME	3:Childr	0110600	6	3:Junior	6.0	3:No												4:Not ve	2.0	1:Less a	2:Somewh	0.0	3:About	544617.74	258299.23	802916.97	802916.93	-235948.13
492	0110900	2	1:Panel	95:Other	3:No	1:Yes		3:No	3:No	3:No	3:No		24.0	2:Marrie	1:Male	011090002	8	285986.92	340223.4	626210.32	1211	KARO		2:Rural	96:SAME	10:Grand	0110941	1	60:Colle	7.0	3:No	3:No		1027	4	30	60					2011.0	3:Somewh	3.0	1:Less a	3:Somewh	0.0	3:About	1717804.4	1164493.3	2882297.8	2882297.7	-2256087.5
493	0110900	8	3:New	4:Housek	3:No	1:Yes		3:No	3:No	1:Yes	3:No		22.0	2:Marrie	3:Female	011090008	8	285986.92	340223.4	626210.32	1211	KARO		2:Rural	96:SAME	16:Relat	0110900		60:Colle	7.0	3:No	3:No														2:Somewh	1.0	3:About	214832.1	491207.12	706039.22	637677.9	-79828.896
494	0111100	5	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		18.0	1:Not ye	1:Male	011110005	4	480445.4	333838.51	814283.91	1211	KARO	689743.46	2:Rural	96:SAME	3:Childr	0111100	5	6:Senior	7.0	1:Yes	1:Yes	3:No	1034	3	45	6			6:Still			2:Very s	4.0	2:Adequa	2:Somewh	0.0	3:About	424955.25	109136.63	534091.88	248998.56	280192.03
495	0111731	3	3:New	3:Attend	1:Yes			1:Yes	1:Yes	3:No	3:No		15.0	1:Not ye	1:Male	011173103	5	170736.16	536330.73	707066.89	1211	KARO		2:Rural	96:SAME	3:Childr	0111731	3	5:Senior	5.0	1:Yes	1:Yes	3:No	1067	3	60	5			6:Still			2:Very s	3.0	3:More t	1:Very h	0.0	3:About	1122475	412032.29	1534507.3	1310779.4	-827440.44
496	0112141	2	3:New	1:Workin				1:Yes	3:No	3:No	3:No		18.0	1:Not ye	1:Male	011210004	3	265452.37	6080.847	271533.21	1211	KARO		2:Rural	12:Move	10:Grand	0112100	4	3:Junior	6.0	3:No	3:No		1069	2	15	3	98:Don't				2013.0	4:Not ve	3.0	2:Adequa	2:Somewh	0.0	3:About	233529.36	542913.22	776442.58	770050.34	-504909.36
497	0112141	3	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		15.0	1:Not ye	3:Female	011210005	3	265452.37	6080.847	271533.21	1211	KARO		2:Rural	12:Move	10:Grand	0112100	5	3:Junior	7.0	1:Yes	1:Yes	3:No	1071	2	20	3			6:Still			3:Somewh	3.0	2:Adequa	2:Somewh	0.0	2:Somewh	233529.36	542913.22	776442.58	770050.34	-504909.36
499	0120600	6	1:Panel	4:Housek	3:No	3:No	3:No	3:No	3:No	1:Yes	3:No		23.0	2:Marrie	3:Female	012060006	7	208255.65	501930.51	710186.16	1213	LANGKAT	499695.31	2:Rural	11:Move	3:Childr	0120600	6	4:Junior	7.0	3:No												3:Somewh	4.0	2:Adequa	2:Somewh	0.0	2:Somewh	765238.38	519276.13	1284514.5	1282738.8	-574328.35
500	0171351	3	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	1:Yes	1:Yes		18.0	1:Not ye	3:Female	017132104	4	778465.39	573727.94	1352193.3	1213	LANGKAT	1152227	2:Rural	13:Move	3:Childr	0171321	7	61:Unive	5.0	1:Yes	1:Yes	3:No	1467	4	6	61			6:Still			2:Very s	4.0	1:Less a	2:Somewh	0.0	2:Somewh	167021.65	449139.14	616160.8	616160.81	736032.54
501	0131700	3	1:Panel	1:Workin				1:Yes	3:No	3:No	3:No		23.0	2:Marrie	1:Male	013170003	5	1504283.2	205749	1710032.2	1376	PAYAKUMBUH	375444.14	2:Rural	11:Move	3:Childr	0131700	3	61:Unive	7.0	3:No	3:No		1245	4	30	61			3:No	H	2011.0	3:Somewh	3.0	3:More t	2:Somewh	2.0	2:Somewh	537743.96	533400.4	1071144.4	813590.45	638887.86
502	0131700	6	3:New	4:Housek	3:No	3:No	3:No	3:No	3:No	1:Yes	3:No		21.0	2:Marrie	3:Female	013170006	5	1504283.2	205749	1710032.2	1376	PAYAKUMBUH	375444.14	2:Rural	11:Move	5:Sons/d	0131700		61:Unive	6.0	1:Yes	1:Yes	3:No	1249	4	20	61			6:Still			4:Not ve	3.0	1:Less a	3:Somewh	2.0	4:Somewh	537743.96	533400.4	1071144.4	813590.45	638887.86
503	0390141	3	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		15.0	1:Not ye	1:Male	039014103	4	570105.09	410293.14	980398.24	1376	PAYAKUMBUH	962575.28	1:Urban	96:SAME	3:Childr	0390141	3	73:Islam	7.0	1:Yes	1:Yes	1:Yes	3186	2	15	4			6:Still			2:Very s	3.0	3:More t	1:Very h	0.0	1:Much b	338012.16	287780.4	625792.56	625792.58	354605.68
505	0391041	3	3:New	3:Attend	1:Yes			1:Yes	1:Yes	3:No	3:No		17.0	1:Not ye	1:Male	039104103	5	988892.68	557561.24	1546453.9	1376	PAYAKUMBUH	1349687.7	1:Urban	14:Move	3:Childr	0391041	3	5:Senior	6.0	1:Yes	1:Yes	3:No	3213	3	15	5			6:Still			2:Very s	4.0	3:More t	2:Somewh	0.0	2:Somewh	371965.59	490870.45	862836.04	850214.57	683617.88
506	0391041	4	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		15.0	1:Not ye	1:Male	039104104	5	988892.68	557561.24	1546453.9	1376	PAYAKUMBUH	1349687.7	1:Urban	14:Move	3:Childr	0391041	4	3:Junior	7.0	1:Yes	1:Yes	3:No	3215	2	15	3			6:Still			2:Very s	3.0	3:More t	2:Somewh	2.0	2:Somewh	371965.59	490870.45	862836.04	850214.57	683617.88
507	0391041	5	3:New	1:Workin				1:Yes	3:No	3:No	3:No	3:Not re	21.0	1:Not ye	1:Male	039100003	5	988892.68	557561.24	1546453.9	1376	PAYAKUMBUH	1349687.7	1:Urban	14:Move	3:Childr	0391000	3	5:Senior	6.0	3:No	3:No		3218	3	10	5	8.0	75			2011.0	2:Very s	4.0	2:Adequa	2:Somewh	0.0	2:Somewh	770505.92	965748.39	1736254.3	1675692	-189800.4
508	0391100	8	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		18.0	1:Not ye	3:Female	039110008	3	1582057.2	511592.09	2093649.3	1376	PAYAKUMBUH	1052784.7	1:Urban	14:Move	3:Childr	0391100	8	5:Senior	7.0	1:Yes	1:Yes	1:Yes	3222	3	30	5			6:Still			3:Somewh	4.0	2:Adequa	2:Somewh	3.0	2:Somewh	974326.6	789726.24	1764052.8	1742899.8	329596.45
509	0391132	1	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		20.0	1:Not ye	1:Male	039110009	5	570408.08	408902.96	979311.03	1376	PAYAKUMBUH	979311	1:Urban	1:Distan	3:Childr	0391132	1	4:Junior	6.0	1:Yes	1:Yes	1:Yes	3224	2	15	3	6.0	35.7			2012.0	2:Very s	3.0	1:Less a	2:Somewh	1.0	2:Somewh	113144.43	210328.4	323472.83	295924.63	655838.2
510	0391341	3	1:Panel	2:Job se	3:No	3:No	3:No	3:No	3:No	3:No	1:Yes		21.0	1:Not ye	3:Female	039130003	6	903567.92	465870.1	1369438	1376	PAYAKUMBUH	1180751.6	1:Urban	96:SAME	3:Childr	0391341	3	60:Colle	7.0	3:No	1:Yes	1:Yes	3228	4	15	60					2014.0	3:Somewh	3.0	2:Adequa	2:Somewh	0.0	3:About	145550.75	363242.82	508793.56	507324.34	860644.46
511	0391341	4	3:New										19.0	1:Not ye	1:Male		6	903567.92	465870.1	1369438	1376	PAYAKUMBUH	1180751.6	1:Urban	96:SAME	3:Childr	0391341	4																					145550.75	363242.82	508793.56	507324.34	860644.46
512	0391341	5	3:New										17.0	1:Not ye	1:Male		6	903567.92	465870.1	1369438	1376	PAYAKUMBUH	1180751.6	1:Urban	96:SAME	3:Childr	0391341	5																					145550.75	363242.82	508793.56	507324.34	860644.46
513	0391400	5	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		17.0	1:Not ye	3:Female	039140005	5	1166837.8	736247.75	1903085.5	1376	PAYAKUMBUH	1838067.2	1:Urban	96:SAME	3:Childr	0391400	5	6:Senior	5.0	1:Yes	1:Yes	1:Yes	3231	3	30	6			6:Still			1:Comple	3.0	3:More t	2:Somewh	0.0	2:Somewh	623682.72	441689.59	1065372.3	807818.44	837713.21
514	0391700	4	1:Panel	1:Workin				1:Yes	3:No	1:Yes	3:No		23.0	2:Marrie	3:Female	039170004	5	481934.58	775618.11	1257552.7	1376	PAYAKUMBUH	1154892.1	1:Urban	96:SAME	3:Childr	0391700	4	6:Senior	7.0	3:No	3:No		3239	3	10	6	4.0				2010.0	1:Comple	3.0	3:More t	2:Somewh	0.0	3:About	432900.44	360021.56	792922	779803.8	464630.69
515	0391900	4	3:New	3:Attend	1:Yes			3:No	1:Yes	3:No	3:No		15.0	1:Not ye	1:Male	039190004	6	492367	403465.75	895832.75	1376	PAYAKUMBUH	886849.98	1:Urban	96:SAME	10:Grand	0391900	4	3:Junior	7.0	1:Yes	1:Yes	3:No	3241	2	7	3			6:Still			3:Somewh	4.0	2:Adequa	1:Very h	0.0	1:Much b	223628.78	439889.51	663518.29	654044.05	232314.46
516	0391900	5	3:New	3:Attend	3:No	1:Yes		1:Yes	1:Yes	3:No	3:No		15.0	1:Not ye	1:Male	039190005	6	492367	403465.75	895832.75	1376	PAYAKUMBUH	886849.98	1:Urban	96:SAME	10:Grand	0391900	5	3:Junior	6.0	1:Yes	1:Yes	3:No	3243	2	5	3			6:Still			2:Very s	3.0	2:Adequa	3:Somewh	2.0	2:Somewh	223628.78	439889.51	663518.29	654044.05	232314.46
517	0392042	2	1:Panel	4:Housek	3:No	3:No	3:No	3:No	3:No	1:Yes	3:No		24.0	2:Marrie	3:Female	039204202	6	393983.9	408408.67	802392.56	1376	PAYAKUMBUH	723971.26	1:Urban	12:Move	3:Childr	0392042	2	3:Junior	6.0	3:No												1:Comple	4.0	2:Adequa	3:Somewh	7.0	4:Somewh	99643.622	521557.57	621201.19	621201.18	181191.37
518	0400600	4	3:New	4:Housek	3:No	3:No	3:No	3:No	3:No	1:Yes	3:No		19.0	2:Marrie	3:Female	040060004	5	881327.17	665996.52	1547323.7	1376	PAYAKUMBUH	1039724	2:Rural	96:SAME	3:Childr	0400600	4	3:Junior	8.0	3:No	3:No		3263	2	10	3			3:No	M	2013.0	2:Very s	3.0	3:More t	2:Somewh	0.0	2:Somewh	196204.47	141659.01	337863.48	269648.86	1209460.2
519	0400600	6	3:New	1:Workin				1:Yes	3:No	1:Yes	3:No	1:Receiv	23.0	2:Marrie	1:Male	040060006	5	881327.17	665996.52	1547323.7	1376	PAYAKUMBUH	1039724	2:Rural	96:SAME	5:Sons/d	0400600		6:Senior	7.0	3:No	3:No		3266	3	25	6	7.0				2010.0	2:Very s	3.0	2:Adequa	2:Somewh	0.0	2:Somewh	196204.47	141659.01	337863.48	269648.86	1209460.2
520	0400700	3	3:New	2:Job se	3:No	1:Yes		3:No	3:No	3:No	1:Yes		18.0	1:Not ye	1:Male	040070003	4	2854482.1	291477.74	3145959.9	1376	PAYAKUMBUH	570176.34	2:Rural	96:SAME	4:Childr	0400700	3	74:Islam	7.0	3:No	3:No		3269	3	10	74			3:No	K	2013.0	3:Somewh	3.0	2:Adequa	2:Somewh	0.0	2:Somewh	154871.22	158030.53	312901.75	283659.12	2833058.1
521	0401000	5	3:New	1:Workin				1:Yes	3:No	3:No	3:No		20.0	1:Not ye	3:Female	040100005	5	120554.94	356631.59	477186.52	1376	PAYAKUMBUH	471140.92	2:Rural	96:SAME	3:Childr	0401000	5	6:Senior	7.0	3:No	3:No		3278	3	15	6	4.0	20.95			2013.0	2:Very s	3.0	1:Less a	2:Somewh	0.0	1:Much b	548540.45	406567.25	955107.7	840229.73	-477921.18
522	0401500	10	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		19.0	1:Not ye	1:Male	040150010	4	3713409.3	246991.48	3960400.8	1376	PAYAKUMBUH	3618198.7	2:Rural	11:Move	3:Childr	0401500	10	6:Senior	7.0	1:Yes	1:Yes	3:No	3287	3	20	6			6:Still			3:Somewh	4.0	2:Adequa	2:Somewh	5.0	3:About	166491.76	95642.576	262134.34	259401.38	3698266.5
523	0402311	6	3:New	1:Workin				1:Yes	3:No	3:No	3:No		23.0	1:Not ye	1:Male	040231106	5	292568.51	301394.47	593962.98	1376	PAYAKUMBUH	466321.6	2:Rural	11:Move	3:Childr	0402311	6	5:Senior	7.0	3:No	3:No		3297	3	5	74			3:No	C	2008.0	4:Not ve	3.0	1:Less a	3:Somewh	3.0	2:Somewh	235449.74	365706.11	601155.85	591681.63	-7192.8693
524	0402800	6	1:Panel	95:Other	3:No	3:No	3:No	3:No	3:No	3:No	3:No		23.0	1:Not ye	3:Female	040280006	5	3442638.4	2224.3135	3444862.8	1376	PAYAKUMBUH		2:Rural	96:SAME	3:Childr	0402800	6	61:Unive	5.0	3:No	1:Yes	3:No	3320	4	30	61					2014.0	2:Very s	4.0	3:More t	2:Somewh	0.0	2:Somewh	577273.46	360779.49	938052.95	925663.53	2506809.8
525	0402800	9	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		16.0	1:Not ye	1:Male	040280009	5	3442638.4	2224.3135	3444862.8	1376	PAYAKUMBUH		2:Rural	96:SAME	3:Childr	0402800	9	5:Senior	6.0	1:Yes	1:Yes	3:No	3323	3	20	5			6:Still			2:Very s	4.0	3:More t	2:Somewh	0.0	3:About	577273.46	360779.49	938052.95	925663.53	2506809.8
526	0404100	4	3:New	1:Workin				1:Yes	3:No	3:No	3:No		19.0	1:Not ye	1:Male	040410004	5	238814.27	226138.53	464952.8	1376	PAYAKUMBUH	396512.37	2:Rural	11:Move	3:Childr	0404100	4	6:Senior	7.0	3:No	1:Yes	1:Yes	3330	3	20	6	4.0	19.86			2014.0	2:Very s	3.0	2:Adequa	2:Somewh	0.0	2:Somewh	273487.04	217007.76	490494.8	412441.54	-25542
527	0141100	7	3:New	3:Attend	1:Yes			1:Yes	1:Yes	3:No	1:Yes		15.0	1:Not ye	1:Male	014110007	5	328440.86	132671.66	461112.51	1271	SIBOLGA	419000.76	1:Urban	11:Move	3:Childr	0141100	7	6:Senior	5.0	1:Yes	1:Yes	1:Yes	1261	3	20	6			6:Still			2:Very s	3.0	3:More t	1:Very h	1.0	4:Somewh	121180.19	173921.73	295101.91	295101.9	166010.6
528	0141800	7	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		16.0	1:Not ye	3:Female	014180007	4	688661.78	270582.76	959244.54	1271	SIBOLGA	943053.14	1:Urban	11:Move	3:Childr	0141800	7	5:Senior	5.0	1:Yes	1:Yes	3:No	1265	3	15	5			6:Still			2:Very s	4.0	3:More t	3:Somewh	2.0	1:Much b	402933.08	524764.81	927697.89		31546.646
529	0141800	8	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	1:Yes	3:No		17.0	1:Not ye	1:Male	014183103	4	688661.78	270582.76	959244.54	1271	SIBOLGA	943053.14	1:Urban	11:Move	13:Nephe	0141831	3	5:Senior	5.0	1:Yes	1:Yes	1:Yes	1268	3	5	5			6:Still			3:Somewh	4.0	3:More t	1:Very h	0.0	3:About	844949.44	601836.61	1446786	1434090.7	-487541.51
530	0141900	3	3:New	1:Workin				1:Yes	1:Yes	3:No	3:No		21.0	1:Not ye	3:Female	014190003	4	506543.17	430545.04	937088.21	1271	SIBOLGA	909752.08	1:Urban	11:Move	3:Childr	0141900	3	61:Unive	6.0	1:Yes	1:Yes	3:No	1274	4	30	61			6:Still			3:Somewh	3.0	1:Less a	3:Somewh	2.0	2:Somewh	555305.95	275448.18	830754.13	814114.08	106334.08
533	0150400	8	3:New	95:Other	3:No	3:No	3:No	3:No	3:No	3:No	3:No		17.0	1:Not ye	1:Male	015040008	6	389388.88	496911.24	886300.12	1271	SIBOLGA	767142.37	1:Urban	11:Move	10:Grand	0150400		5:Senior	6.0	3:No	1:Yes	3:No													2:Somewh	0.0	2:Somewh	587948.19	0	587948.19		298351.93
534	0150400	10	3:New	1:Workin				1:Yes	3:No	3:No	1:Yes		20.0	1:Not ye	1:Male	015040010	6	389388.88	496911.24	886300.12	1271	SIBOLGA	767142.37	1:Urban	11:Move	10:Grand	0150400		6:Senior	5.0	3:No	3:No		1277	3	10	6			3:No	V	2009.0	4:Not ve	3.0	2:Adequa	3:Somewh	7.0	4:Somewh	587948.19	0	587948.19		298351.93
535	0150600	3	1:Panel	95:Other	1:Yes			1:Yes	3:No	3:No	1:Yes	2:Less t	23.0	1:Not ye	3:Female	015060003	4	1806098.8	993215.03	2799313.8	1271	SIBOLGA	1443929.3	1:Urban	11:Move	3:Childr	0150600	3	60:Colle	5.0	3:No	3:No		1282	4	10	60					2011.0	2:Very s	3.0	2:Adequa	1:Very h	0.0	3:About	594733.6	679246.48	1273980.1	1273980	1525333.7
536	0150700	8	3:New	95:Other	3:No	3:No	3:No	3:No	3:No	3:No	1:Yes		18.0	1:Not ye	1:Male	015070008	8	107732.64	174268.23	282000.87	1271	SIBOLGA	239945.2	1:Urban	11:Move	3:Childr	0150700	8	3:Junior	7.0	3:No	3:No		1290	2	10	3	4.0	25.5			2012.0	3:Somewh	1:Poores	1:Less a	3:Somewh	2.0	3:About	147181.18	249489.73	396670.91	396670.91	-114670.04
537	0150831	4	1:Panel	1:Workin				1:Yes	3:No	1:Yes	1:Yes		22.0	1:Not ye	1:Male	015080007	3	758871.39	683404.83	1442276.2	1271	SIBOLGA	1435266.9	1:Urban	11:Move	3:Childr	0150831	4	6:Senior	7.0	3:No	3:No		1297	3	30	6	4.0	28.75			2010.0	4:Not ve	3.0	2:Adequa	1:Very h	0.0	1:Much b	337238.19	364860.68	702098.87	668818.81	740177.35
538	0150841	3	1:Panel	1:Workin				1:Yes	3:No	1:Yes	3:No		24.0	1:Not ye	3:Female	015080011	5	369276.92	344071.55	713348.47	1271	SIBOLGA	658115.33	1:Urban	11:Move	8:Siblin	0150841	3	5:Senior	6.0	3:No	3:No		1298	3	10	5	6.0	43.5			2008.0	3:Somewh	3.0	2:Adequa	3:Somewh	0.0	3:About	272231.1	149982.26	422213.36	382277.23	291135.11
539	0150841	4	1:Panel	1:Workin				1:Yes	3:No	1:Yes	3:No		22.0	1:Not ye	3:Female	015080012	5	369276.92	344071.55	713348.47	1271	SIBOLGA	658115.33	1:Urban	11:Move	8:Siblin	0150841	4	5:Senior	6.0	3:No	3:No		1299	3	15	5	6.0	51.85			2010.0	3:Somewh	2.0	2:Adequa	3:Somewh	0.0	2:Somewh	272231.1	149982.26	422213.36	382277.23	291135.11
540	0150841	5	3:New	1:Workin				1:Yes	3:No	3:No	3:No	1:Receiv	19.0	1:Not ye	1:Male	015080013	5	369276.92	344071.55	713348.47	1271	SIBOLGA	658115.33	1:Urban	11:Move	8:Siblin	0150841	5	6:Senior	6.0	3:No	3:No		1302	3	15	6	4.0				2013.0	2:Very s	3.0	2:Adequa	2:Somewh	3.0	4:Somewh	272231.1	149982.26	422213.36	382277.23	291135.11
541	0151000	8	3:New	1:Workin				1:Yes	3:No	3:No	3:No		18.0	1:Not ye	1:Male	015100008	7	346979.4	165579.23	512558.63	1271	SIBOLGA	332319.98	1:Urban	11:Move	10:Grand	0151000	8	6:Senior	6.0	3:No	3:No		1314	3	30	6			3:No	V	2012.0	3:Somewh	3.0	2:Adequa	2:Somewh	0.0	1:Much b	335740.59	187477.83	523218.42	522552.83	-10659.789
542	0151400	5	3:New	1:Workin				1:Yes	3:No	3:No	3:No	1:Receiv	19.0	1:Not ye	1:Male	015140005	7	209777.75	432432.55	642210.3	1271	SIBOLGA	541476.94	1:Urban	1:Distan	3:Childr	0151400	5	6:Senior	6.0	3:No	3:No		1319	3	20	6	3.0	16.5			2013.0	2:Very s	3.0	1:Less a	2:Somewh	0.0	3:About	69583.111	187838.35	257421.47	257421.46	384788.83
543	0151400	7	3:New	3:Attend	1:Yes			3:No	1:Yes	3:No	3:No		15.0	1:Not ye	3:Female	015140007	7	209777.75	432432.55	642210.3	1271	SIBOLGA	541476.94	1:Urban	1:Distan	3:Childr	0151400	7	5:Senior	5.0	1:Yes	1:Yes	3:No	1322	3	15	5			6:Still			4:Not ve	3.0	2:Adequa	3:Somewh	4.0	4:Somewh	69583.111	187838.35	257421.47	257421.46	384788.83
544	0151900	11	3:New	95:Other	3:No	3:No	3:No	3:No	3:No	3:No	3:No		18.0	1:Not ye	1:Male	015190011	4	770022.01	1739037.5	2509059.5	1271	SIBOLGA	2294049.8	1:Urban	11:Move	3:Childr	0151900	11	5:Senior	6.0	1:Yes	1:Yes	1:Yes	1352	3	17	5			6:Still			2:Very s	4.0	2:Adequa	2:Somewh	7.0	4:Somewh	655210.91	548492.74	1203703.7	908102.62	1305355.8
545	0160141	1	3:New	1:Workin				1:Yes	3:No	3:No	3:No		19.0	1:Not ye	1:Male	016010004	4	797235.54	768147.01	1565382.6	1271	SIBOLGA	1261705.6	1:Urban	13:Move	13:Nephe	0160141	1	74:Islam	6.0	3:No	3:No		1355	3	5	74			3:No	V	2012.0	1:Comple	3.0	2:Adequa	3:Somewh	7.0	4:Somewh	607900.79	0	607900.79		957481.76
546	0160400	9	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		15.0	1:Not ye	1:Male	016043104	7	54912.704	182761.98	237674.68	1271	SIBOLGA	237674.69	1:Urban	11:Move	13:Nephe	0160400	9	3:Junior	7.0	1:Yes	1:Yes	3:No	1372	2	5	3			6:Still			2:Very s	3.0	2:Adequa	2:Somewh	0.0	2:Somewh	105364.75	223819.67	329184.42	329184.43	-91509.743
547	0160452	1	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	1:Yes	3:No		18.0	1:Not ye	3:Female	016040011	3	529434.31	1016906.4	1546340.7	1271	SIBOLGA	1532322.2	1:Urban	11:Move	3:Childr	0160400	11	5:Senior	6.0	1:Yes	1:Yes	3:No	1379	3	30	5			6:Still			1:Comple	5.0	3:More t	3:Somewh	0.0	3:About	105364.75	223819.67	329184.42	329184.43	1217156.3
548	0161300	18	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	1:Yes		21.0	1:Not ye	3:Female	016130018	4	1442912.9	492962.68	1935875.6	1271	SIBOLGA	1568308.9	1:Urban	11:Move	13:Nephe	0161300	18	61:Unive	6.0	1:Yes	1:Yes	1:Yes	1389	4	15	61			6:Still			3:Somewh	4.0	3:More t	2:Somewh	0.0	1:Much b	315404.25	254104.53	569508.78	502948.62	1366366.8
549	0161300	19	3:New	3:Attend	1:Yes			3:No	1:Yes	3:No	1:Yes		18.0	1:Not ye	1:Male	016130019	4	1442912.9	492962.68	1935875.6	1271	SIBOLGA	1568308.9	1:Urban	11:Move	13:Nephe	0161300	19	6:Senior	7.0	1:Yes	1:Yes	1:Yes	1392	3	15	6			6:Still			3:Somewh	3.0	2:Adequa	3:Somewh	0.0	4:Somewh	315404.25	254104.53	569508.78	502948.62	1366366.8
550	0161353	3	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		15.0	1:Not ye	1:Male	016130015	5	301160.74	416239.1	717399.85	1271	SIBOLGA	698895.3	1:Urban	11:Move	3:Childr	0161300	15	6:Senior	6.0	1:Yes	1:Yes	1:Yes	1396	3	10	6			6:Still			3:Somewh	2.0	1:Less a	2:Somewh	1.0	2:Somewh	315404.25	254104.53	569508.78	502948.62	147891.06
551	0161353	4	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		15.0	1:Not ye	1:Male	016130016	5	301160.74	416239.1	717399.85	1271	SIBOLGA	698895.3	1:Urban	11:Move	3:Childr	0161300	16	6:Senior	6.0	1:Yes	1:Yes	1:Yes	1399	3	15	6			6:Still			4:Not ve	2.0	1:Less a	1:Very h	0.0	1:Much b	315404.25	254104.53	569508.78	502948.62	147891.06
